cowcode,iso3166,country_ID,country_name,abbr_country,region_ID,region_name,year,tier,type,tier_instdepth,tier_policy,tier_fiscauto,tier_borrowauto,tier_rep,tier_lawmaking,tier_execcon,tier_fisccon,tier_borrowcon,tier_constit,tier_selfrule,tier_sharedrule,tier_RAI,COMPONENTS,instdepth,policy,fiscauto,borrowauto,assembly,executive,law_a,law_b,law_c,law_d,law_e,law_f,execcon_multi,execcon_bi,fisccon_multi,fisccon_bi,borrowcon_multi,borrowcon_bi,constit_multi,constit_bi
900,36,2,Australia,AUS,201,States,2003,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
900,36,2,Australia,AUS,201,States,2004,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
900,36,2,Australia,AUS,201,States,2005,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
900,36,2,Australia,AUS,201,States,2006,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
900,36,2,Australia,AUS,201,States,2007,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
900,36,2,Australia,AUS,201,States,2008,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
900,36,2,Australia,AUS,201,States,2009,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
900,36,2,Australia,AUS,201,States,2010,1,S,3,4,2,2,4,1.5,2,2,2,3,15,10.5,25.5,,3,4,2,2,2,2,0.5,0,0.5,0.5,0,0,2,0,2,0,2,0,3,0
900,36,2,Australia,AUS,202,Northern Territory,1950,1,D,1,0,0,0,0,1,0,0,0,0,1,1,2,,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1951,1,D,1,0,0,0,0,1,0,0,0,0,1,1,2,,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1952,1,D,1,0,0,0,0,1,0,0,0,0,1,1,2,,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1953,1,D,1,0,0,0,0,1,0,0,0,0,1,1,2,,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1954,1,D,1,0,0,0,0,1,0,0,0,0,1,1,2,,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1955,1,D,1,0,0,0,0,1,0,0,0,0,1,1,2,,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1956,1,D,1,0,0,0,0,1,0,0,0,0,1,1,2,,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1957,1,D,1,0,0,0,0,1,0,0,0,0,1,1,2,,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1958,1,D,1,0,0,0,0,1,0,0,0,0,1,1,2,,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1959,1,D,1,0,0,0,0,1,0,0,0,0,1,1,2,,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1960,1,D,1,0,0,0,2,1,0,0,0,0,3,1,4,,1,0,0,0,2,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1961,1,D,1,0,0,0,2,1,0,0,0,0,3,1,4,,1,0,0,0,2,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1962,1,D,1,0,0,0,2,1,0,0,0,0,3,1,4,,1,0,0,0,2,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1963,1,D,1,0,0,0,2,1,0,0,0,0,3,1,4,,1,0,0,0,2,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1964,1,D,1,0,0,0,2,1,0,0,0,0,3,1,4,,1,0,0,0,2,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1965,1,D,1,0,0,0,4,1,0,0,0,0,5,1,6,,1,0,0,0,2,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1966,1,D,1,0,0,0,4,1,0,0,0,0,5,1,6,,1,0,0,0,2,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1967,1,D,1,0,0,0,4,1,0,0,0,0,5,1,6,,1,0,0,0,2,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1968,1,D,1,0,0,0,4,1,0,0,0,0,5,1,6,,1,0,0,0,2,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1969,1,D,1,0,0,0,4,1,0,0,0,0,5,1,6,,1,0,0,0,2,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
900,36,2,Australia,AUS,202,Northern Territory,1970,1,D,1,0,0,0,4,1,0,0,0,0,5,1,6,,1,0,0,0,2,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0
